sku,name,price,stock,discount_percent,category,subcategory,color,size,collection
MU0296,Стеклянный бокал,1100,60,0,Кухня и столовая,Бокалы,"Прозрачный, янтарное основание","8,2×10,4",Новинки
MU0297,Чайная ложка,900,60,0,Кухня и столовая,Посуда,Графитовый матовый,"2,8×13,5",Новинки
MU0298,Ложка,1000,60,0,Кухня и столовая,Посуда,Графитовый матовый,"4,2×18,5",Новинки
MU0299,Вилка,1000,60,0,Кухня и столовая,Посуда,Графитовый матовый,"2,5×18,7",Новинки
MU0300,Столовый нож,1000,60,0,Кухня и столовая,Посуда,Графитовый матовый,"1,8×22,1",Новинки
MU0301,Столовый нож,1000,60,0,Кухня и столовая,Посуда,,"1,8×22,1",Новинки
MU0302,Вилка,1000,60,0,Кухня и столовая,Посуда,,"2,5×18,7",Новинки
MU0303,Ложка,1000,60,0,Кухня и столовая,Посуда,,"4,2×18,5",Новинки
MU0304,Чайная ложка,900,60,0,Кухня и столовая,Посуда,,"2,8×13,5",Новинки
MU0305,Коктельный бокал,1500,30,0,Кухня и столовая,Бокалы,"Прозрачный, янтарный, синий",11×16,Новинки
MU0306,Коктельный бокал,1500,30,0,Кухня и столовая,Бокалы,"Прозрачный, зеленый, синий",11×16,Новинки
MU0307,Прихватка,950,60,0,Кухня и столовая,Текстиль для кухни и столовой,Коричневый,9×14,Новинки
MU0308,Прихватка,950,60,0,Кухня и столовая,Текстиль для кухни и столовой,"Белый, синий",9×14,Новинки
MU0309,Прихватка,950,60,0,Кухня и столовая,Текстиль для кухни и столовой,Светло-зелёный,9×14,Новинки
MU0310,Прихватка,950,60,0,Кухня и столовая,Текстиль для кухни и столовой,Коричневый,9×14,Новинки
MU0311,Скатерть,2700,30,0,Кухня и столовая,Текстиль для кухни и столовой,"Бежевый, чёрный",140×180,
MU0312,Скатерть,3300,30,0,Кухня и столовая,Текстиль для кухни и столовой,"Бежевый, чёрный",140×240,
MU0313,Скатерть,3200,20,0,Кухня и столовая,Текстиль для кухни и столовой,"Белый, синий",140×220,
MU0314,Скатерть,3300,20,0,Кухня и столовая,Текстиль для кухни и столовой,"Коричневый, белый",140×240,
MU0315,Скатерть,2700,20,0,Кухня и столовая,Текстиль для кухни и столовой,"Коричневый, белый",140×180,
MU0316,Дорожка для сервировки,1900,25,0,Кухня и столовая,Сервировка,Бежевый,30×200,
MU0317,Салфетка для сервировки,1000,60,0,Кухня и столовая,Сервировка,"Белый, синий",30×40,
MU0318,Салфетка для сервировки,1000,60,0,Кухня и столовая,Сервировка,"Белый, синий",50×70,
MU0319,Дорожка для сервировки,2000,20,0,Кухня и столовая,Сервировка,"Белый, синий",30×180,
MU0320,Дорожка для сервировки,2300,20,0,Кухня и столовая,Сервировка,"Белый, синий",30×220,
MU0321,"Ваза стеклянная ""Лёд""",3700,10,0,Вазы и аксессуары,Вазы и кувшины,Прозрачный,"17×24,5",
MU0322,"Ваза стеклянная ""Гардения"" малая",4900,5,0,Вазы и аксессуары,Вазы и кувшины,Коричневый,23×25,
MU0323,"Ваза стеклянная ""Гардения"" большая",6200,3,0,Вазы и аксессуары,Вазы и кувшины,Коричневый,25×30,
MU0324,"Ваза стеклянная ""Градиент"" большая",7900,6,0,Вазы и аксессуары,Вазы и кувшины,"Зелёный, оранжевый",17×34,
MU0325,"Ваза стеклянная ""Градиент"" малая",7600,6,0,Вазы и аксессуары,Вазы и кувшины,"Зелёный, оранжевый","23×24,5",
MU0326,"Ваза стеклянная ""Инжир""",5400,5,0,Вазы и аксессуары,Вазы и кувшины,Красный,15×22,
MU0327,"Ваза стеклянная ""Инжир""",4800,5,0,Вазы и аксессуары,Вазы и кувшины,Коричневый,19×28,
MU0328,"Ваза стеклянная ""Марс""",5300,6,0,Вазы и аксессуары,Вазы и кувшины,Серый,"24×27,5",
MU0329,Кашпо керамическое,2200,4,0,Флористика для дома,Горшки и кашпо,Серый,22×15,
MU0330,"Кашпо керамическое ""Волна""",1000,12,0,Флористика для дома,Горшки и кашпо,Светло-розовый,"11×8,5",
MU0331,"Ваза керамическая ""Морская""",2300,10,0,Вазы и аксессуары,Вазы и кувшины,Морской,15×18,
MU0332,"Кашпо керамическое ""Волна"" малое",1500,4,0,Флористика для дома,Горшки и кашпо,Серый,"16×12,5",
MU0333,"Кашпо керамическое ""Волна"" большое",2200,3,0,Флористика для дома,Горшки и кашпо,Серый,22×15,
