title,muru_slug,translit,match
Вазы и аксессуары,vazy-i-aksessuary,vazy-i-aksessuary,yes
Вазы и кувшины,vazy-i-kuvshiny,vazy-i-kuvshiny,yes
Подсвечники,podsvechniki,podsvechniki,yes
Интерьер,interer,interer,yes
Постеры,postery,postery,yes
Предметы декора,predmety-dekora,predmety-dekora,yes
Свет,svet,svet,yes
Комплексные наборы,kompleksnye-nabory,kompleksnye-nabory,yes
Корпоративные подарки,korporativnye-podarki,korporativnye-podarki,yes
Кухня и столовая,kukhnya-i-stolovaya,kukhnya-i-stolovaya,yes
Кухонные аксессуары,kukhonnye-aksessuary,kukhonnye-aksessuary,yes
Подсвечники,podsvechniki1,podsvechniki,no
Посуда,posuda,posuda,yes
Сервировка,servirovka,servirovka,yes
Текстиль для кухни и столовой,tekstil-dlya-kukhni-i-stolovoy,tekstil-dlya-kukhni-i-stolovoy,yes
Хранение и порядок,khranenie-i-poryadok,khranenie-i-poryadok,yes
Натуральный декор,naturalnyy-dekor,naturalnyy-dekor,yes
Корзины и плетёные изделия,korziny-i-pletenye-izdeliya,korziny-i-pletenye-izdeliya,yes
Свечи,svechi,svechi,yes
Сухоцветы,sukhotsvety,sukhotsvety,yes
Подарочные карты,podarochnye-karty,podarochnye-karty,yes
Распродажа,rasprodazha,rasprodazha,yes
Текстиль,tekstil,tekstil,yes
Спальня,spalnya,spalnya,yes
Флористика для дома,floristika-dlya-doma,floristika-dlya-doma,yes
Горшки и кашпо,gorshki-i-kashpo,gorshki-i-kashpo,yes
Флористический инструмент,floristicheskiy-instrument,floristicheskiy-instrument,yes
